,imgsz,stride,bs,model,tracker,n_frames,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDsw,FM,MOTA,MOTP,pre-process ms,infer ms,nms ms,tracker ms,total ms
0,640,3,1,yolov8n-pt,strongsort,300.0,1.536211,1.144866,1.087508,0.332999,0.800803,2994.0,1.0,2.0,1.0,248.0,1997.0,1.0,420.0,0.249833,0.18281,1.1,13.3,1.7,28.8,13470.000000000002
1,640,4,1,yolov8n-pt,ocsort,225.0,1.537402,1.15089,1.0935,0.336598,0.796628,2246.0,1.0,2.0,1.0,193.0,1490.0,0.0,323.0,0.250668,0.190522,0.5,9.3,1.1,2.5,3015.0
2,480,4,1,yolov8n-pt,strongsort,225.0,1.552576,1.135777,0.979519,0.239537,0.914966,2246.0,0.0,2.0,2.0,50.0,1708.0,2.0,289.0,0.216385,0.206638,0.8,11.5,1.5,25.3,8797.5
3,320,3,1,yolov8s-pt,strongsort,300.0,1.531537,1.091053,0.920508,0.195391,0.966942,2994.0,1.0,1.0,2.0,20.0,2409.0,0.0,340.0,0.188711,0.177165,0.6,10.1,1.2,22.7,10379.999999999998
4,320,2,1,yolov8l-pt,strongsort,450.0,1.54695,1.147724,1.004898,0.276269,0.923363,4492.0,1.0,1.0,2.0,103.0,3251.0,4.0,563.0,0.252449,0.191358,0.7,17.9,1.3,23.8,19665.0
5,480,1,1,yolov8s-pt,ocsort,900.0,1.567921,1.179803,1.066221,0.317863,0.882844,8985.0,1.0,1.0,2.0,379.0,6129.0,8.0,1275.0,0.274791,0.190919,0.5,9.3,1.1,1.6,11250.0
6,640,3,1,yolov8m-pt,strongsort,300.0,1.624017,1.401215,1.309953,0.548764,0.89488,2994.0,1.0,2.0,1.0,193.0,1351.0,6.0,400.0,0.482298,0.188718,0.9,29.3,1.4,28.8,18120.0
7,320,2,1,yolov8s-pt,strongsort,450.0,1.527152,1.090477,0.920303,0.196572,0.957701,4492.0,1.0,1.0,2.0,39.0,3609.0,3.0,507.0,0.187222,0.178677,0.5,10.0,1.3,22.8,15570.0
8,480,2,1,yolov8l-pt,ocsort,450.0,1.628946,1.381418,1.257792,0.50423,0.92638,4492.0,1.0,2.0,1.0,180.0,2227.0,8.0,673.0,0.462378,0.198574,0.5,15.1,1.2,2.4,8640.0
9,320,5,1,yolov8l-pt,bytetrack,180.0,1.541176,1.119658,0.948747,0.226184,0.978313,1795.0,1.0,1.0,2.0,9.0,1389.0,0.0,198.0,0.22117,0.23426,0.4,14.9,1.1,1.1,3150.0000000000005
10,640,1,1,yolov8s-pt,strongsort,900.0,1.620384,1.381274,1.252755,0.493378,0.903219,8985.0,1.0,2.0,1.0,475.0,4552.0,11.0,1281.0,0.439288,0.196307,1.0,16.8,1.5,27.4,42030.0
11,640,2,1,yolov8m-pt,strongsort,450.0,1.627875,1.421229,1.323464,0.559884,0.894381,4492.0,1.0,2.0,1.0,297.0,1977.0,2.0,594.0,0.493321,0.190129,0.9,28.6,1.3,28.5,26685.0
12,640,2,1,yolov8s-pt,strongsort,450.0,1.62052,1.378319,1.248219,0.487533,0.901977,4492.0,1.0,2.0,1.0,238.0,2302.0,5.0,649.0,0.433437,0.193788,1.0,18.8,1.5,28.1,22230.000000000004
13,320,5,1,yolov8l-pt,strongsort,180.0,1.548977,1.138924,0.991086,0.262953,0.940239,1795.0,1.0,1.0,2.0,30.0,1323.0,2.0,224.0,0.245125,0.193888,0.7,19.6,1.4,24.8,8370.0
