,label,det_id,start_region,overall_time,start_region_time,end_region_time,no_region_time,end_region
0,bicycle,788,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
1,bicycle,789,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
2,bicycle,790,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
3,bicycle,791,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
4,bicycle,792,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
5,bicycle,793,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
6,bicycle,794,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
7,bicycle,795,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
8,bicycle,796,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
9,bicycle,797,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
10,bicycle,798,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
11,bicycle,799,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
12,bicycle,800,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
13,bicycle,801,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
14,bicycle,802,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
15,bicycle,803,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
16,bicycle,804,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
17,bicycle,805,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
18,bicycle,806,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
19,bicycle,807,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
20,bicycle,808,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
21,bicycle,809,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
22,bicycle,810,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
23,bicycle,811,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
24,bicycle,812,South_Burnaby_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
25,bicycle,813,South_Burnaby_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
26,bicycle,814,South_Burnaby_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
27,bicycle,815,South_Burnaby_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
28,bicycle,816,South_Burnaby_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
29,bicycle,817,South_Burnaby_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
30,bicycle,818,South_Burnaby_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
31,bicycle,819,South_Burnaby_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
32,bicycle,820,South_Burnaby_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
33,bicycle,821,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,South_Burnaby_Road
34,bicycle,822,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,South_Burnaby_Road
35,bicycle,823,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,South_Burnaby_Road
36,bicycle,824,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,South_Burnaby_Road
37,bicycle,825,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,South_Burnaby_Road
38,bicycle,826,North_Burnaby_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,South_Burnaby_Road
39,bicycle,827,North_Burnaby_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,South_Burnaby_Road
40,bicycle,828,North_Burnaby_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,South_Burnaby_Road
41,bicycle,829,North_Burnaby_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,South_Burnaby_Road
42,bicycle,830,North_Burnaby_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,South_Burnaby_Road
43,bicycle,831,North_Burnaby_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,South_Burnaby_Road
44,bicycle,832,North_Burnaby_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,South_Burnaby_Road
45,bicycle,833,South_Burnaby_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,North_Burnaby_Road
46,bicycle,834,South_Burnaby_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,North_Burnaby_Road
47,bicycle,835,South_Burnaby_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,North_Burnaby_Road
48,bicycle,836,South_Burnaby_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
49,bicycle,837,South_Burnaby_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
50,bicycle,838,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,South_Burnaby_Road
51,bicycle,839,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,South_Burnaby_Road
52,bicycle,840,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,South_Burnaby_Road
53,bicycle,841,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,South_Burnaby_Road
54,bicycle,842,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,South_Burnaby_Road
55,bicycle,843,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,South_Burnaby_Road
56,bicycle,844,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,South_Burnaby_Road
57,bicycle,845,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,South_Burnaby_Road
58,bicycle,846,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,South_Burnaby_Road
59,bicycle,847,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,South_Burnaby_Road
60,bicycle,848,North_Burnaby_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
61,bicycle,849,North_Burnaby_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
62,bicycle,850,North_Burnaby_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
63,bicycle,851,North_Burnaby_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
64,bicycle,852,North_Burnaby_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
65,bicycle,853,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,North_Burnaby_Road
66,bicycle,854,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,North_Burnaby_Road
67,bicycle,855,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,North_Burnaby_Road
68,bicycle,856,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,North_Burnaby_Road
69,bicycle,857,North_Burnaby_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
70,bicycle,858,North_Burnaby_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
71,bicycle,859,North_Burnaby_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
72,bicycle,860,North_Burnaby_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
73,bicycle,861,North_Burnaby_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
74,bicycle,862,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,North_Burnaby_Road
75,bicycle,863,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,North_Burnaby_Road
76,bicycle,864,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,North_Burnaby_Road
77,bicycle,865,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,North_Burnaby_Road
78,bicycle,866,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,North_Burnaby_Road
79,bicycle,867,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,North_Burnaby_Road
80,bicycle,868,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,North_Burnaby_Road
81,car,0,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
82,car,1,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
83,car,2,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
84,car,3,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
85,car,4,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
86,car,5,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
87,car,6,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
88,car,7,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
89,car,8,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
90,car,9,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
91,car,10,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
92,car,11,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
93,car,12,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
94,car,13,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
95,car,14,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
